Target,Target_Namespace,Target_Type,Target_Method,Job_Id,Job_AnalyzeLaunchVariance,Job_EvaluateOverhead,Job_MaxAbsoluteError,Job_MaxRelativeError,Job_MinInvokeCount,Job_MinIterationTime,Job_OutlierMode,Job_Affinity,Job_EnvironmentVariables,Job_Jit,Job_Platform,Job_Runtime,Job_AllowVeryLargeObjects,Job_Concurrent,Job_CpuGroups,Job_Force,Job_HeapAffinitizeMask,Job_HeapCount,Job_NoAffinitize,Job_RetainVm,Job_Server,Job_Arguments,Job_BuildConfiguration,Job_Clock,Job_EngineFactory,Job_NuGetReferences,Job_Toolchain,Job_IsMutator,Job_InvocationCount,Job_IterationCount,Job_IterationTime,Job_LaunchCount,Job_MaxIterationCount,Job_MaxWarmupIterationCount,Job_MinIterationCount,Job_MinWarmupIterationCount,Job_RunStrategy,Job_UnrollFactor,Job_WarmupCount,Job_Display,Params,Measurement_LaunchIndex,Measurement_IterationMode,Measurement_IterationStage,Measurement_IterationIndex,Measurement_Nanoseconds,Measurement_Operations,Measurement_Value
ISOUtilsTest.PU1STB,ISO8583NetBenchmark,ISOUtilsTest,PU1STB,MonitoringJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,20,Default,Default,Default,Default,Default,Default,Throughput,Default,Default,"MonitoringJob(IterationCount=20, RunStrategy=Throughput)",,1,Overhead,Jitting,1,423300,1,423300
ISOUtilsTest.PU1STB,ISO8583NetBenchmark,ISOUtilsTest,PU1STB,MonitoringJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,20,Default,Default,Default,Default,Default,Default,Throughput,Default,Default,"MonitoringJob(IterationCount=20, RunStrategy=Throughput)",,1,Workload,Jitting,1,18411600,1,18411600
ISOUtilsTest.PU1STB,ISO8583NetBenchmark,ISOUtilsTest,PU1STB,MonitoringJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,20,Default,Default,Default,Default,Default,Default,Throughput,Default,Default,"MonitoringJob(IterationCount=20, RunStrategy=Throughput)",,1,Overhead,Jitting,2,364300,16,22768.75
ISOUtilsTest.PU1STB,ISO8583NetBenchmark,ISOUtilsTest,PU1STB,MonitoringJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,20,Default,Default,Default,Default,Default,Default,Throughput,Default,Default,"MonitoringJob(IterationCount=20, RunStrategy=Throughput)",,1,Workload,Jitting,2,923700,16,57731.25
ISOUtilsTest.PU1STB,ISO8583NetBenchmark,ISOUtilsTest,PU1STB,MonitoringJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,20,Default,Default,Default,Default,Default,Default,Throughput,Default,Default,"MonitoringJob(IterationCount=20, RunStrategy=Throughput)",,1,Workload,Pilot,1,85600,16,5350
ISOUtilsTest.PU1STB,ISO8583NetBenchmark,ISOUtilsTest,PU1STB,MonitoringJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,20,Default,Default,Default,Default,Default,Default,Throughput,Default,Default,"MonitoringJob(IterationCount=20, RunStrategy=Throughput)",,1,Workload,Pilot,2,293800,32,9181.25
ISOUtilsTest.PU1STB,ISO8583NetBenchmark,ISOUtilsTest,PU1STB,MonitoringJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,20,Default,Default,Default,Default,Default,Default,Throughput,Default,Default,"MonitoringJob(IterationCount=20, RunStrategy=Throughput)",,1,Workload,Pilot,3,456900,64,7139.06
ISOUtilsTest.PU1STB,ISO8583NetBenchmark,ISOUtilsTest,PU1STB,MonitoringJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,20,Default,Default,Default,Default,Default,Default,Throughput,Default,Default,"MonitoringJob(IterationCount=20, RunStrategy=Throughput)",,1,Workload,Pilot,4,1087000,128,8492.19
ISOUtilsTest.PU1STB,ISO8583NetBenchmark,ISOUtilsTest,PU1STB,MonitoringJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,20,Default,Default,Default,Default,Default,Default,Throughput,Default,Default,"MonitoringJob(IterationCount=20, RunStrategy=Throughput)",,1,Workload,Pilot,5,1910100,256,7461.33
ISOUtilsTest.PU1STB,ISO8583NetBenchmark,ISOUtilsTest,PU1STB,MonitoringJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,20,Default,Default,Default,Default,Default,Default,Throughput,Default,Default,"MonitoringJob(IterationCount=20, RunStrategy=Throughput)",,1,Workload,Pilot,6,3002800,512,5864.84
